control1,control2,treat,name,rep
DRIP-cseq_1,DRIP-cseq_28,DRIP-cseq_5,0hpi_pos_input,rep1
DRIP-cseq_2,DRIP-cseq_29,DRIP-cseq_6,3hpi_pos_input,rep1
DRIP-cseq_3,DRIP-cseq_30,DRIP-cseq_7,6hpi_pos_input,rep1
DRIP-cseq_4,DRIP-cseq_31,DRIP-cseq_8,12hpi_pos_input,rep1
DRIP-cseq_1,DRIP-cseq_28,DRIP-cseq_9,0hpi_neg_input,rep1
DRIP-cseq_2,DRIP-cseq_29,DRIP-cseq_10,3hpi_neg_input,rep1
DRIP-cseq_3,DRIP-cseq_30,DRIP-cseq_11,6hpi_neg_input,rep1
DRIP-cseq_4,DRIP-cseq_31,DRIP-cseq_12,12hpi_neg_input,rep1
DRIP-cseq_13,DRIP-cseq_40,DRIP-cseq_18,PDS0_pos_input,rep1
DRIP-cseq_14,DRIP-cseq_41,DRIP-cseq_19,PDS20_pos_input,rep1
DRIP-cseq_15,DRIP-cseq_42,DRIP-cseq_20,NLS_pos_input,rep1
DRIP-cseq_16,DRIP-cseq_43,DRIP-cseq_21,MUT_pos_input,rep1
DRIP-cseq_17,DRIP-cseq_44,DRIP-cseq_22,WT_pos_input,rep1
DRIP-cseq_13,DRIP-cseq_40,DRIP-cseq_23,PDS0_neg_input,rep1
DRIP-cseq_14,DRIP-cseq_41,DRIP-cseq_24,PDS20_neg_input,rep1
DRIP-cseq_15,DRIP-cseq_42,DRIP-cseq_25,NLS_neg_input,rep1
DRIP-cseq_16,DRIP-cseq_43,DRIP-cseq_26,MUT_neg_input,rep1
DRIP-cseq_17,DRIP-cseq_44,DRIP-cseq_27,WT_neg_input,rep1
DRIP-cseq_9,DRIP-cseq_36,DRIP-cseq_5,0hpi_pos_neg,rep1
DRIP-cseq_10,DRIP-cseq_37,DRIP-cseq_6,3hpi_pos_neg,rep1
DRIP-cseq_11,DRIP-cseq_38,DRIP-cseq_7,6hpi_pos_neg,rep1
DRIP-cseq_12,DRIP-cseq_39,DRIP-cseq_8,12hpi_pos_neg,rep1
DRIP-cseq_23,DRIP-cseq_50,DRIP-cseq_18,PDS0_pos_neg,rep1
DRIP-cseq_24,DRIP-cseq_51,DRIP-cseq_19,PDS20_pos_neg,rep1
DRIP-cseq_25,DRIP-cseq_52,DRIP-cseq_20,NLS_pos_neg,rep1
DRIP-cseq_26,DRIP-cseq_53,DRIP-cseq_21,MUT_pos_neg,rep1
DRIP-cseq_27,DRIP-cseq_54,DRIP-cseq_22,WT_pos_neg,rep1
DRIP-cseq_28,DRIP-cseq_1,DRIP-cseq_32,0hpi_pos_input,rep2
DRIP-cseq_29,DRIP-cseq_2,DRIP-cseq_33,3hpi_pos_input,rep2
DRIP-cseq_30,DRIP-cseq_3,DRIP-cseq_34,6hpi_pos_input,rep2
DRIP-cseq_31,DRIP-cseq_4,DRIP-cseq_35,12hpi_pos_input,rep2
DRIP-cseq_28,DRIP-cseq_1,DRIP-cseq_36,0hpi_neg_input,rep2
DRIP-cseq_29,DRIP-cseq_2,DRIP-cseq_37,3hpi_neg_input,rep2
DRIP-cseq_30,DRIP-cseq_3,DRIP-cseq_38,6hpi_neg_input,rep2
DRIP-cseq_31,DRIP-cseq_4,DRIP-cseq_39,12hpi_neg_input,rep2
DRIP-cseq_40,DRIP-cseq_13,DRIP-cseq_45,PDS0_pos_input,rep2
DRIP-cseq_41,DRIP-cseq_14,DRIP-cseq_46,PDS20_pos_input,rep2
DRIP-cseq_42,DRIP-cseq_15,DRIP-cseq_47,NLS_pos_input,rep2
DRIP-cseq_43,DRIP-cseq_16,DRIP-cseq_48,MUT_pos_input,rep2
DRIP-cseq_44,DRIP-cseq_17,DRIP-cseq_49,WT_pos_input,rep2
DRIP-cseq_40,DRIP-cseq_13,DRIP-cseq_50,PDS0_neg_input,rep2
DRIP-cseq_41,DRIP-cseq_14,DRIP-cseq_51,PDS20_neg_input,rep2
DRIP-cseq_42,DRIP-cseq_15,DRIP-cseq_52,NLS_neg_input,rep2
DRIP-cseq_43,DRIP-cseq_16,DRIP-cseq_53,MUT_neg_input,rep2
DRIP-cseq_44,DRIP-cseq_17,DRIP-cseq_54,WT_neg_input,rep2
DRIP-cseq_36,DRIP-cseq_9,DRIP-cseq_32,0hpi_pos_neg,rep2
DRIP-cseq_37,DRIP-cseq_10,DRIP-cseq_33,3hpi_pos_neg,rep2
DRIP-cseq_38,DRIP-cseq_11,DRIP-cseq_34,6hpi_pos_neg,rep2
DRIP-cseq_39,DRIP-cseq_12,DRIP-cseq_35,12hpi_pos_neg,rep2
DRIP-cseq_50,DRIP-cseq_23,DRIP-cseq_45,PDS0_pos_neg,rep2
DRIP-cseq_51,DRIP-cseq_24,DRIP-cseq_46,PDS20_pos_neg,rep2
DRIP-cseq_52,DRIP-cseq_25,DRIP-cseq_47,NLS_pos_neg,rep2
DRIP-cseq_53,DRIP-cseq_26,DRIP-cseq_48,MUT_pos_neg,rep2
DRIP-cseq_54,DRIP-cseq_27,DRIP-cseq_49,WT_pos_neg,rep2
